label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
,0,5385,7,407.0703,5.376057,0.8315191,,,,,0,0,407.0703,2602.733,2410.344,2518.306,2539.234,2289.245,2937.542,2376.484,2898.996,2396.064,3070.03,2264.956,2442.255,2640.834,2897.899,2724.681,2584.211
,0,5386,15,267.2084,16.76675,0.8066103,,,,,0,0,267.2084,2536.678,2818.614,2928.995,3111.467,2574.608,2255.131,3210.561,2509.949,2216.03,3369.149,2522.281,3339.738,2538.289,2469.152,2546.683,2729.97
,0,5387,0,332.2003,10.52397,0.4823627,,,,,0,0,332.2003,1275.625,1663.189,1242.082,1319.561,1120.858,1337.803,938.4673,1205.818,1434.14,1652.397,1138.726,1265.295,1392.175,1928.878,1495.263,1336.965
,0,5388,0,332.2003,9.635782,0.34551,,,,,0,0,332.2003,972.3431,1815.052,691.2294,1145.517,1483.855,1174.41,1017.866,859.785,706.8467,1056.645,1209.772,1216.173,1001.712,1137.18,873.3271,833.9328
,0,5389,7,358.1589,16.9657,0.8050393,,,,,0,0,358.1589,2905.68,2445.873,2645.725,2732.198,2189.629,2672.048,2548.178,1773.219,2550.653,2882.482,2243.335,2280.672,2504.502,2100.011,1994.172,1436.649
,0,5390,6,407.3288,18.94194,0.7603428,,,,,0,0,407.3288,2835.1,3180.779,2857.736,2993.913,2285.885,3136.723,2466.09,2930.145,2127.695,2250.871,1911.509,2323.456,2530.058,2472.138,1634.084,2678.438
,0,5391,3,407.3288,18.37172,0.6202286,,,,,0,0,407.3288,1817.115,1933.302,1889.69,2383.156,1937.647,2112.828,1278.732,2086.79,1855.187,2055.96,1245.131,2282.924,1839.881,2695.041,2353.266,2631.808
,0,5392,11,324.1123,14.44886,0.8319507,,,,,0,0,324.1123,2741.193,2549.152,2234.374,2744.582,2373.154,2320.437,2236.527,2830.618,2137.201,2423.336,2293.429,2064.479,2496.386,2845.774,2534.82,2516.202
,0,5393,13,287.1038,16.77433,0.8431417,,,,,0,0,287.1038,2580.113,2265.559,1827.199,2573.418,2300.373,2375.984,3003.451,2535.615,1462.723,2661.02,2699.741,2264.266,2106.269,2287.802,2040.021,1796.294
,0,5394,16,339.2574,16.40879,0.8437948,,,,,0,0,339.2574,2081.059,2196.339,2364.61,2396.433,2421.907,2970.874,2091.63,1934.258,2644.475,2320.479,2458.265,2748.738,3329.118,3149.952,2862.023,2912.07
,0,5395,12,495.3795,18.34888,0.8109552,,,,,0,0,495.3795,1883.516,2318.838,1911.439,2711.329,2348.274,1898.24,1756.382,2380.372,1902.05,1764.763,1893.202,2652.283,2419.06,2480.47,2106.096,2898.201
,0,5396,16,468.7702,6.408829,0.8324891,,,,,0,0,468.7702,1933.9,2546.731,2756.075,2560.507,2339.079,2631.132,2539.078,2654.312,2502.66,2369.186,2502.664,2707.349,2231.429,2266.95,2866.666,2506.535
,0,5397,8,214.159,13.22747,0.702161,,,,,0,0,214.159,1260.906,1757.986,1881.316,2224.582,1367.895,1655.478,1741.926,1944.984,1541.74,2392.331,1648.383,1720.367,1706.107,2210.825,2580.745,3061.822
