duplicate_id,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
17,0.0,35.0,16.0,229.1347,16.09093,0.8211768,0.0,0.0,229.1347,3246271.0,2012581.0,3383311.0,2196156.0,3079309.0,1862150.0,3258831.0,2156933.0,3251628.0,2432534.0,2886189.0,2284192.0,3407914.0,2158896.0,1563525.0,867537.2
18,0.0,24.0,16.0,218.1034,11.27315,0.8352137,0.0,0.0,218.1034,3566964.0,2760563.0,3568082.0,2979439.0,3353127.0,2380329.0,3452391.0,2362285.0,3807516.0,2732332.0,3393163.0,2726640.0,3806442.0,2779840.0,3707144.0,2755330.0
18,0.0,29.0,16.0,218.1034,11.27315,0.8353496,0.0,0.0,218.1034,3567055.0,2761242.0,3568408.0,2979971.0,3353641.0,2380748.0,3452789.0,2362652.0,3808406.0,2732586.0,3394074.0,2727250.0,3807083.0,2780217.0,3706764.0,2751826.0
19,0.0,24.0,16.0,218.1034,11.27315,0.8352137,0.0,0.0,218.1034,3566964.0,2760563.0,3568082.0,2979439.0,3353127.0,2380329.0,3452391.0,2362285.0,3807516.0,2732332.0,3393163.0,2726640.0,3806442.0,2779840.0,3707144.0,2755330.0
19,0.0,1651.0,16.0,218.1034,11.27315,0.8356701,0.0,0.0,218.1034,3567893.0,2761242.0,3568408.0,2979971.0,3353641.0,2380748.0,3452789.0,2362652.0,3808406.0,2733042.0,3394074.0,2727250.0,3807083.0,2780217.0,3707626.0,2755892.0
20,0.0,27.0,14.0,229.1155,16.09571,0.8328184,0.0,0.0,229.1155,4198.875,3566.13,9067.632,5106.508,11580.21,5960.275,10148.25,7793.113,11084.84,7792.879,6906.729,5813.253,6893.249,5100.375,6874.086,2632.854
20,0.0,1966.0,14.0,229.1156,16.09571,0.8327518,0.0,0.0,229.1156,4198.875,3566.13,9067.632,5106.508,11580.21,5960.275,10148.25,7793.113,11084.84,7792.879,6906.729,5813.253,6893.249,5100.375,6874.086,2632.854
21,0.0,27.0,14.0,229.1155,16.09571,0.8328184,0.0,0.0,229.1155,4198.875,3566.13,9067.632,5106.508,11580.21,5960.275,10148.25,7793.113,11084.84,7792.879,6906.729,5813.253,6893.249,5100.375,6874.086,2632.854
21,0.0,2476.0,14.0,229.1156,16.09571,0.8327518,0.0,0.0,229.1156,4198.875,3566.13,9067.632,5106.508,11580.21,5960.275,10148.25,7793.113,11084.84,7792.879,6906.729,5813.253,6893.249,5100.375,6874.086,2632.854
22,0.0,29.0,16.0,218.1034,11.27315,0.8353496,0.0,0.0,218.1034,3567055.0,2761242.0,3568408.0,2979971.0,3353641.0,2380748.0,3452789.0,2362652.0,3808406.0,2732586.0,3394074.0,2727250.0,3807083.0,2780217.0,3706764.0,2751826.0
22,0.0,1651.0,16.0,218.1034,11.27315,0.8356701,0.0,0.0,218.1034,3567893.0,2761242.0,3568408.0,2979971.0,3353641.0,2380748.0,3452789.0,2362652.0,3808406.0,2733042.0,3394074.0,2727250.0,3807083.0,2780217.0,3707626.0,2755892.0
23,0.0,33.0,16.0,164.1007,4.097786,0.8402348,0.0,0.0,164.1007,4824.091,4191.508,5595.379,3675.63,4458.562,3079.68,4988.622,3466.947,5636.691,3549.26,4671.69,3583.036,5140.083,3670.219,3895.316,2927.23
23,0.0,3658.0,16.0,164.1013,4.101597,0.8405131,0.0,0.0,164.1013,4824.091,4191.508,5595.379,3675.63,4458.562,3079.68,4919.701,3466.947,5636.691,3751.174,4671.69,3583.036,5140.083,3670.219,3895.316,2810.16
24,0.0,34.0,16.0,307.1124,16.08998,0.8288201,0.0,0.0,307.1124,3990999.0,2075672.0,4501714.0,2220270.0,3794661.0,1865872.0,4168563.0,2295082.0,4240280.0,2619483.0,3420194.0,2390589.0,4408912.0,2329118.0,1426701.0,666552.2
24,0.0,37.0,16.0,307.1124,16.08998,0.8282958,0.0,0.0,307.1124,4000944.0,2079880.0,4499888.0,2223870.0,3793348.0,1866048.0,4167044.0,2295130.0,4251418.0,2625241.0,3428807.0,2394790.0,4408612.0,2329985.0,1429916.0,668140.2
25,0.0,39.0,16.0,284.26,16.60966,0.8165841,0.0,0.0,284.26,1768706.0,1903175.0,1891964.0,1914526.0,1787036.0,1967568.0,1875089.0,1990297.0,1821853.0,1933312.0,1772376.0,1865185.0,1887605.0,1998350.0,1985634.0,2087344.0
25,0.0,71.0,16.0,284.26,16.60966,0.8149949,0.0,0.0,284.26,1764524.0,1898602.0,1887604.0,1910515.0,1782488.0,1962863.0,1870692.0,1986041.0,1817559.0,1929238.0,1768081.0,1861149.0,1883050.0,1992870.0,1981050.0,2082050.0
26,0.0,41.0,16.0,159.1028,14.49838,0.8342709,0.0,0.0,159.1028,1495731.0,1539351.0,1448891.0,1618300.0,1534657.0,1517773.0,1429766.0,1625206.0,1369201.0,1449131.0,1360044.0,1483844.0,1475414.0,1566514.0,1489736.0,1694632.0
26,0.0,48.0,16.0,159.1028,14.49838,0.8376524,0.0,0.0,159.1028,1496180.0,1539376.0,1449216.0,1618375.0,1535171.0,1518286.0,1430933.0,1626046.0,1369742.0,1449598.0,1360538.0,1483988.0,1476337.0,1567039.0,1490249.0,1694795.0
27,0.0,41.0,16.0,159.1028,14.49838,0.8342709,0.0,0.0,159.1028,1495731.0,1539351.0,1448891.0,1618300.0,1534657.0,1517773.0,1429766.0,1625206.0,1369201.0,1449131.0,1360044.0,1483844.0,1475414.0,1566514.0,1489736.0,1694632.0
27,0.0,58.0,16.0,159.1028,14.49838,0.8373988,0.0,0.0,159.1028,1496315.0,1539411.0,1449014.0,1618164.0,1534955.0,1517772.0,1430219.0,1625167.0,1369517.0,1449180.0,1360252.0,1483966.0,1475793.0,1566429.0,1489874.0,1694602.0
28,0.0,42.0,15.0,159.1028,15.7616,0.8122345,0.0,0.0,159.1028,1561597.0,1604392.0,1497381.0,1762004.0,1521012.0,1770273.0,1589894.0,1810514.0,1511430.0,1689291.0,1458032.0,1613484.0,1600021.0,1711906.0,1502786.0,1836263.0
28,0.0,44.0,16.0,159.1028,15.7616,0.8284181,0.0,0.0,159.1028,1568682.0,1611982.0,1504104.0,1769332.0,1528112.0,1777711.0,1596947.0,1818051.0,1517999.0,1696551.0,1464538.0,1620543.0,1606588.0,1719024.0,1510092.0,1844131.0
29,0.0,42.0,15.0,159.1028,15.7616,0.8122345,0.0,0.0,159.1028,1561597.0,1604392.0,1497381.0,1762004.0,1521012.0,1770273.0,1589894.0,1810514.0,1511430.0,1689291.0,1458032.0,1613484.0,1600021.0,1711906.0,1502786.0,1836263.0
29,0.0,4887.0,16.0,159.1028,15.7616,0.8279314,0.0,0.0,159.1028,1518109.0,1542644.0,1450496.0,1699164.0,1478232.0,1707013.0,1545486.0,1748465.0,1471966.0,1630502.0,1413342.0,1554773.0,1556737.0,1644289.0,1442013.0,1748971.0
30,0.0,44.0,16.0,159.1028,15.7616,0.8284181,0.0,0.0,159.1028,1568682.0,1611982.0,1504104.0,1769332.0,1528112.0,1777711.0,1596947.0,1818051.0,1517999.0,1696551.0,1464538.0,1620543.0,1606588.0,1719024.0,1510092.0,1844131.0
30,0.0,4887.0,16.0,159.1028,15.7616,0.8279314,0.0,0.0,159.1028,1518109.0,1542644.0,1450496.0,1699164.0,1478232.0,1707013.0,1545486.0,1748465.0,1471966.0,1630502.0,1413342.0,1554773.0,1556737.0,1644289.0,1442013.0,1748971.0
31,0.0,45.0,5.0,128.0455,7.594976,0.7781518,0.0,0.0,128.0455,5136.697,5257.221,9118.581,4534.5,6911.285,4972.492,9242.41,6515.244,17384.41,7719.648,6503.833,4175.294,11898.7,7039.582,6215.585,4061.459
31,0.0,2747.0,6.0,128.0453,7.594976,0.7947996,0.0,0.0,128.0453,5427.275,5257.221,9660.868,4534.5,7365.298,5408.684,11053.49,6775.742,22276.04,8807.434,7030.691,4394.768,12527.15,7421.868,6215.585,4061.459
32,0.0,47.0,3.0,128.0354,5.813584,0.6717972,0.0,0.0,128.0354,674155.7,14654.5,711714.9,13253.07,601080.6,17176.4,641674.9,16383.74,586304.2,203873.4,579460.0,94651.24,492292.3,97770.31,249554.8,10799.8
32,0.0,4222.0,12.0,128.0354,5.812631,0.7942786,0.0,0.0,128.0354,728092.9,19681.46,716843.2,19654.68,607120.1,23648.67,646657.8,64121.53,589374.0,208413.0,585537.5,103473.0,529550.9,100447.8,251333.4,11274.05
33,0.0,48.0,16.0,159.1028,14.49838,0.8376524,0.0,0.0,159.1028,1496180.0,1539376.0,1449216.0,1618375.0,1535171.0,1518286.0,1430933.0,1626046.0,1369742.0,1449598.0,1360538.0,1483988.0,1476337.0,1567039.0,1490249.0,1694795.0
33,0.0,58.0,16.0,159.1028,14.49838,0.8373988,0.0,0.0,159.1028,1496315.0,1539411.0,1449014.0,1618164.0,1534955.0,1517772.0,1430219.0,1625167.0,1369517.0,1449180.0,1360252.0,1483966.0,1475793.0,1566429.0,1489874.0,1694602.0
34,0.0,49.0,16.0,146.0458,4.249355,0.8392336,0.0,0.0,146.0458,1065245.0,873441.0,1339022.0,973313.4,1382171.0,1563781.0,1443375.0,1568133.0,1452083.0,1634818.0,1317102.0,1544214.0,1243890.0,1397863.0,1314268.0,1652194.0
34,0.0,64.0,16.0,146.0458,4.249355,0.8414516,0.0,0.0,146.0458,1023758.0,853645.6,1293206.0,948689.2,1334731.0,1524847.0,1397398.0,1530482.0,1405093.0,1592546.0,1281376.0,1494595.0,1201032.0,1358467.0,1275255.0,1616329.0
35,0.0,52.0,14.0,146.0488,4.236009,0.836297,0.0,0.0,146.0488,2894.195,1790.723,2142.562,2368.403,3055.695,2395.958,3388.529,2411.038,3658.74,8948.13,2277.09,3340.478,2683.607,2474.79,4533.866,2671.951
35,0.0,5868.0,13.0,146.0488,4.236009,0.8329373,0.0,0.0,146.0488,2894.195,1790.723,2142.562,2368.403,3055.695,2395.958,3388.529,2511.231,3658.74,8948.13,2277.09,3340.478,2683.607,2474.79,4533.866,2671.951
36,0.0,53.0,15.0,159.117,15.76826,0.8295665,0.0,0.0,159.117,7918.264,8498.773,6050.692,11175.71,7805.203,10020.23,9002.707,9788.576,7909.102,10094.17,5440.051,7969.929,9355.196,9624.229,6654.449,7781.577
36,0.0,5789.0,16.0,159.117,15.76826,0.8444183,0.0,0.0,159.117,7918.264,8498.773,6050.692,11175.71,7805.203,10020.23,9002.707,9788.576,7909.102,10094.17,5440.051,7969.929,9355.196,9624.229,6654.449,7781.577
37,0.0,55.0,16.0,203.0825,7.796064,0.8373766,0.0,0.0,203.0825,1250264.0,1128535.0,1430147.0,1155559.0,1362498.0,1107904.0,1441745.0,1112634.0,1480159.0,1227624.0,1494576.0,1209821.0,1462183.0,1259306.0,1543464.0,1283512.0
37,0.0,60.0,16.0,203.0825,7.796064,0.8394519,0.0,0.0,203.0825,1250752.0,1128666.0,1430692.0,1155586.0,1363112.0,1108503.0,1442350.0,1112680.0,1480994.0,1227291.0,1495032.0,1209364.0,1462712.0,1259426.0,1529207.0,1276302.0
38,0.0,56.0,14.0,146.0425,4.227427,0.8300574,0.0,0.0,146.0425,2027.165,1800.765,3036.859,1566.815,3676.788,2505.655,4198.456,2700.783,1502.465,4242.092,2291.126,3270.542,3059.758,2504.62,2514.615,2710.119
38,0.0,62.0,15.0,146.0427,4.227427,0.8309375,0.0,0.0,146.0427,2027.165,1800.765,3036.859,1539.999,3676.788,2505.655,4198.456,2700.783,1502.465,4242.092,2291.126,3080.5,3059.758,2504.62,2292.945,2710.119
39,0.0,57.0,14.0,284.2336,16.60966,0.8349082,0.0,0.0,284.2336,1865.614,3122.988,5378.952,5078.195,7248.742,4387.297,5692.967,5098.894,7063.622,6172.486,4065.619,5056.611,4020.002,4028.933,4951.621,6001.721
39,0.0,3430.0,14.0,284.2336,16.60966,0.8401363,0.0,0.0,284.2336,1865.614,3122.988,5378.952,5078.195,7248.742,4387.297,5692.967,5098.894,7063.622,6172.486,4065.619,5056.611,4020.002,4028.933,4951.621,6001.721
40,0.0,59.0,14.0,159.1064,14.46791,0.824095,0.0,0.0,159.1064,2897.679,2588.703,4907.984,2553.45,2389.02,4573.289,3181.135,3494.753,2222.968,4129.964,2406.072,3893.975,4054.423,5107.746,2939.072,3355.518
40,0.0,5775.0,14.0,159.1066,14.46791,0.8265426,0.0,0.0,159.1066,2897.679,2588.703,4907.984,2554.397,2525.756,4573.289,3181.135,3494.753,2222.968,4129.964,2406.072,3893.975,4054.423,5360.227,2939.072,3355.518
